"Sentrix_ID","Sample_Name","Basename"
"209251850130_R03C01","RefBootstrap_01","/home/azureuser/comet-methylation/data/example/209251850130_R03C01"
"209259480102_R07C01","RefBootstrap_02","/home/azureuser/comet-methylation/data/example/209259480102_R07C01"
"209547720147_R02C01","RefBootstrap_03","/home/azureuser/comet-methylation/data/example/209547720147_R02C01"
"209547720147_R03C01","RefBootstrap_04","/home/azureuser/comet-methylation/data/example/209547720147_R03C01"
"9741779008_R03C02","RefBootstrap_05","/home/azureuser/comet-methylation/data/example/9741779008_R03C02"
"9741950103_R03C01","RefBootstrap_06","/home/azureuser/comet-methylation/data/example/9741950103_R03C01"
"9741950136_R06C02","RefBootstrap_07","/home/azureuser/comet-methylation/data/example/9741950136_R06C02"
"9934625088_R01C01","RefBootstrap_08","/home/azureuser/comet-methylation/data/example/9934625088_R01C01"
"9934987065_R05C02","RefBootstrap_09","/home/azureuser/comet-methylation/data/example/9934987065_R05C02"
"9934987066_R03C01","RefBootstrap_10","/home/azureuser/comet-methylation/data/example/9934987066_R03C01"
"GSM3735546_201465940014_R01C01","RefBootstrap_11","/home/azureuser/comet-methylation/data/example/GSM3735546_201465940014_R01C01"
"GSM3735547_201465940014_R02C01","RefBootstrap_12","/home/azureuser/comet-methylation/data/example/GSM3735547_201465940014_R02C01"
"GSM3735548_201465940014_R03C01","RefBootstrap_13","/home/azureuser/comet-methylation/data/example/GSM3735548_201465940014_R03C01"
"GSM3735549_201465940014_R04C01","RefBootstrap_14","/home/azureuser/comet-methylation/data/example/GSM3735549_201465940014_R04C01"
